target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,trend,skew,mean,stddev,hurst,serialcorr,date
-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,0.1943,0.1924,0.0132,-0.1569,-0.0281,-0.1365,1.83521232745426,0.0411727174026555,0.946482352941177,47.7933897128075,0.192716591662939,0.0010973341752438198,2016-02-16 01:00:00
0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,0.1943,0.1924,0.0132,-0.1569,-0.0281,1.83795710050003,0.10523695821535699,-0.12159999999999901,48.0214505895803,0.22412096209195398,0.000698387953438129,2016-02-16 02:00:00
0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,0.1943,0.1924,0.0132,-0.1569,1.59035708525512,0.102333205908866,-0.0765470588235289,48.021903067573206,0.22956441526021898,0.000703009895420825,2016-02-16 03:00:00
-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,0.1943,0.1924,0.0132,1.5669606146748,0.100702487618039,-0.0512294117647053,48.0219715126155,0.23206132340802102,0.000702951053587864,2016-02-16 04:00:00
0.1795,-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,0.1943,0.1924,1.56694753067323,0.10098205135897198,-0.0555705882352936,48.0219686599368,0.23215408289545603,0.00070295577764834,2016-02-16 05:00:00
0.2577,0.1795,-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,0.1943,1.56694097950556,0.10103093939322198,-0.0563294117647053,48.0219645986314,0.230482978912474,0.000702972502674704,2016-02-16 06:00:00
0.8479,0.2577,0.1795,-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,12.9049,1.57730942045234,0.100790650340182,-0.0525999999999995,48.0219877409817,0.225315825914567,0.000703876545416593,2016-02-16 07:00:00
0.2959,0.8479,0.2577,0.1795,-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,66.2235,1.80569064016037,0.14602353814061497,-0.7618352941176461,47.90755665183389,0.20483023461084301,0.000961648440825025,2016-02-16 08:00:00
-0.6436,0.2959,0.8479,0.2577,0.1795,-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,73.9946,1.69601948214919,0.23194052291328,-4.63992941176471,44.7077691593665,0.169884400974558,0.00212047673395854,2016-02-16 09:00:00
0.3255,-0.6436,0.2959,0.8479,0.2577,0.1795,-0.0606,0.2735,0.7378,-18.2939,-72.0003,-76.4247,-71.355,-22.1621,-25.4923,-1.69450000000001,49.2665,82.7512,1.5276673273685903,0.17499310704260201,-9.030411764705882,39.910397849681395,0.0770401577839785,0.00863128612565545,2016-02-16 10:00:00
