target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,trend,skew,mean,stddev,hurst,serialcorr,date
0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,0.1916,0.2181,-0.0158,-0.1478,-0.0323,-0.1464,1.7372387104659799,0.137390701697878,-0.122033333333334,52.3677093214669,0.20807833416654103,0.000589521568521989,2016-02-16 01:00:00
0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,0.1916,0.2181,-0.0158,-0.1478,-0.0323,1.5421370723947099,0.134563126800649,-0.0741111111111116,52.3680803973171,0.213511640785715,0.0005929424296310379,2016-02-16 02:00:00
-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,0.1916,0.2181,-0.0158,-0.1478,1.52221538652734,0.133879415070222,-0.0625166666666671,52.3681133023348,0.21590839490701,0.0005929119416577809,2016-02-16 03:00:00
0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,0.1916,0.2181,-0.0158,1.5222016435788899,0.133441591193753,-0.0550888888888893,52.368109976238394,0.216319908349322,0.000592907958769318,2016-02-16 04:00:00
0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,0.1916,0.2181,1.52220333641517,0.132793275435596,-0.0440944444444449,52.3681394840578,0.216015274640125,0.00059291596894151,2016-02-16 05:00:00
0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,0.1916,1.5222019176359498,0.13266939889513799,-0.0419944444444449,52.368151374627,0.214312379600649,0.000592917967873641,2016-02-16 06:00:00
0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,14.4807,1.53159543298107,0.130451745194576,-0.00442222222222267,52.3685714371034,0.20930937026192498,0.000593550191455572,2016-02-16 07:00:00
-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,72.5001,1.7185480169673502,0.176785323833059,-0.794555555555556,52.244310880270795,0.190687957263048,0.0008123460096548519,2016-02-16 08:00:00
0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,77.2185,1.6142958977437498,0.268783643611407,-4.86052222222222,48.9485226424606,0.166802931568926,0.00161446981305258,2016-02-16 09:00:00
-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,100.4034,1.5130425907468998,0.27516197844281104,-9.131866666666669,44.518935270405905,0.0515603583170395,0.00869773383372696,2016-02-16 10:00:00
-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,55.1617,1.28151139898752,-0.759262523416084,-14.74175,35.3151232407549,0.0591853396954939,0.0100231687536133,2016-02-16 11:00:00
1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,-3.3172000000000095,1.32738104149779,-1.50139307140708,-17.921561111111103,30.958834139816,0.15533977506209098,0.00181158733876552,2016-02-16 12:00:00
21.7567,1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,-30.2645,1.4025879558998702,-1.4966441751021498,-17.6361722222222,31.124614738344302,0.15458229296953602,0.00131112686997792,2016-02-16 13:00:00
75.5528,21.7567,1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,-22.2464,1.4580379663452199,-1.50553267160247,-14.746105555555598,32.2769148133401,0.166725520005448,0.0016671357189888,2016-02-16 14:00:00
89.4214,75.5528,21.7567,1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,-81.3452,2.47958934651106,-0.543241798997959,-9.312816666666661,38.5600017763188,-0.0374216300746692,0.009330660031038659,2016-02-16 15:00:00
75.2154,89.4214,75.5528,21.7567,1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,-87.1839,2.12826936222825,0.0029059110756041,0.17421666666666596,40.740618836809205,-0.0641446011267619,0.0118035040973903,2016-02-16 16:00:00
0.18870000000004,75.2154,89.4214,75.5528,21.7567,1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,-77.6322,1.99110157010622,0.44599192905503005,9.1964,38.156881104214705,-0.0393504928782157,0.00976559017610124,2016-02-16 17:00:00
-72.1152,0.18870000000004,75.2154,89.4214,75.5528,21.7567,1.8198,-2.0749,-0.5745,0.3343,-0.6873,0.2583,0.8679,0.2559,0.1821,-0.0141,0.1764,0.7162,-20.039,2.0469977193214,1.61755530211853,13.5197833333333,31.5823778903074,0.121166700882035,0.00426763915759987,2016-02-16 18:00:00
