target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,Tm19,Tm20,Tm21,Tm22,trend,skew,mean,stddev,hurst,serialcorr,date
0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.2219,0.2404,-0.0565,-0.1474,-0.0262,-0.1463,0.8711360653030609,1.68001166872008,-0.0533363636363638,66.9727415724348,-0.18564689519278998,0.0581756453403662,2016-02-16 01:00:00
0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.2219,0.2404,-0.0565,-0.1474,-0.0262,0.871136382251354,1.67918688528263,-0.0353909090909092,66.9727683701433,-0.18562084738516602,0.0581754237465679,2016-02-16 02:00:00
0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.2219,0.2404,-0.0565,-0.1474,0.871140031797838,1.67730348380979,0.0052363636363635105,66.9730453106503,-0.185650711652904,0.0581758403157053,2016-02-16 03:00:00
-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.2219,0.2404,-0.0565,0.8711388920119358,1.6764327920660902,0.0242045454545453,66.9730591163305,-0.18577170569689602,0.0581745279082223,2016-02-16 04:00:00
0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.2219,0.2404,0.8711400968949079,1.67779381659391,-0.00578636363636376,66.9732447080268,-0.186206278426452,0.0581770397436533,2016-02-16 05:00:00
-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.2219,0.8711367322288058,1.6776082319542802,-0.00176818181818194,66.9732628336355,-0.18774865500803,0.0581791037422767,2016-02-16 06:00:00
-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,16.6125,0.8722289110236201,1.6792517886232599,-0.037759090909091,66.9733496659228,-0.192574378496233,0.0582095592386748,2016-02-16 07:00:00
1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,70.4615,0.8833469396494459,1.72458751835326,-0.872095454545455,66.87030185543951,-0.200419116678106,0.0661057706955854,2016-02-16 08:00:00
29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,77.0424,0.8584652169374491,1.9649004221708601,-3.99879090909091,64.9568748943402,-0.23331771599875198,0.103520297844503,2016-02-16 09:00:00
106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,229.7519,0.950391746395481,2.17458247150073,-6.1696227272727295,62.884515651386394,-0.4372775698497321,0.522859219782059,2016-02-16 10:00:00
83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,-23.4088,1.26238645061921,0.0286713989637189,-11.7873045454545,43.2649949678829,-0.257063891463415,0.0307745752607655,2016-02-16 11:00:00
111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,-13.7561,1.25111219169954,0.09446823736089399,-6.9438954545454505,47.6446555509737,-0.10342510271572901,0.00408098188260941,2016-02-16 12:00:00
-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,-67.1791,1.4894972954767,0.254966992265107,-1.2664954545454599,53.8340203559181,-0.0990577697167014,0.00264785882673635,2016-02-16 13:00:00
-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,-2.0697999999999896,1.54663828413232,0.277094134671269,0.0895863636363648,52.4526490896794,-0.0496285970789271,0.00472395535497616,2016-02-16 14:00:00
-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,-104.0902,1.3371153188175502,0.203063003462671,-4.28029090909091,56.49035135704829,-0.0127045809358261,0.00675222045244728,2016-02-16 15:00:00
-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,-88.0379,1.29680069415566,0.107763302041566,-4.886154545454549,57.6709363818861,0.0674038352612185,0.00580257266666906,2016-02-16 16:00:00
-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,-77.3733,1.23523520917874,0.148183697137125,-2.4507409090909102,55.064687622707396,0.100704022202656,0.0051285362390257605,2016-02-16 17:00:00
-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,-20.074,1.12559862335867,0.14250812804156102,0.43160454545454596,52.5587446687036,0.150835587564517,0.0029500585595390004,2016-02-16 18:00:00
-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,0.6067,1.12577054445042,0.14284916112723098,0.424140909090909,52.56180681137079,0.14725439561673098,0.00272737955452818,2016-02-16 19:00:00
-2.2214,-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,0.0963000000000001,1.12566440801249,0.15802380554796697,0.161431818181818,52.5752926882905,0.147040848646999,0.00265832174945035,2016-02-16 20:00:00
0.4003,-2.2214,-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,0.0032999999999998603,1.12238726888006,0.164149663428678,0.0560818181818183,52.5777514517096,0.147075605967725,0.00265180849146618,2016-02-16 21:00:00
-0.201,0.4003,-2.2214,-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,0.1553,1.1222571683495401,0.16309534357279,0.0741272727272729,52.577800601658794,0.147220023004406,0.00265240579525905,2016-02-16 22:00:00
-0.193,-0.201,0.4003,-2.2214,-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,0.2485,1.12216164353907,0.16404090030434698,0.0579318181818184,52.5778292827598,0.147258169796615,0.00265251070293648,2016-02-16 23:00:00
0.1116,-0.193,-0.201,0.4003,-2.2214,-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,0.8676,1.12216286022853,0.165212819078713,0.0378636363636365,52.577837339044294,0.147262547062281,0.00265259610904556,2016-02-17 00:00:00
-0.00580000000000003,0.1116,-0.193,-0.201,0.4003,-2.2214,-5.1729,-20.2382,-13.9617,-34.4588,-117.4192,-98.2071,-37.3453,111.1467,83.1462,106.1629,29.2841,1.6742,-1.7429,-0.5699,0.3288,-0.7163,0.2699,1.1221601884898798,0.167222537359664,0.00350000000000017,52.577516270188205,0.14726091424535198,0.00265245018773341,2016-02-17 01:00:00
