target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,trend,skew,mean,stddev,hurst,serialcorr,date
5515.0,5695.0,5770.0,5822.51387191313,5775.0,5790.0,5805.0,5795.0,1.11248007282917,-1.26688981735387,5778.930553130451,41.027274035692294,0.10115315482580099,0.8231761306384692,1998-01-01
5585.0,5515.0,5695.0,5770.0,5822.51387191313,5775.0,5790.0,5805.0,2.29165895642056,-1.51650613848713,5738.930553130451,106.69312149169501,0.129416160268607,0.454679527213524,1998-01-02
5680.0,5585.0,5515.0,5695.0,5770.0,5822.51387191313,5775.0,5790.0,1.38283125628176,-0.7314086623053541,5707.50198170188,115.985409071544,0.0975828598111828,0.13390989113559199,1998-01-03
5715.0,5680.0,5585.0,5515.0,5695.0,5770.0,5822.51387191313,5775.0,1.09275957798318,-0.46419376780346794,5691.78769598759,110.255427115707,0.0556492153889784,0.13768696633842803,1998-01-04
5740.0,5715.0,5680.0,5585.0,5515.0,5695.0,5770.0,5822.51387191313,0.9323511324218521,-0.361260498461577,5683.21626741616,104.910909072911,0.0201859994090868,0.264265542811849,1998-01-05
5750.0,5740.0,5715.0,5680.0,5585.0,5515.0,5695.0,5770.0,0.7873654694909009,-0.758030205718546,5671.428571428571,90.26416258748009,0.0210488384630652,0.42387136150763505,1998-01-06
5740.0,5750.0,5740.0,5715.0,5680.0,5585.0,5515.0,5695.0,0.79498211984317,-0.8733554925129008,5668.571428571429,86.8770340632037,0.0467361357931534,0.30703753095653,1998-01-07
5660.0,5740.0,5750.0,5740.0,5715.0,5680.0,5585.0,5515.0,2.61122490684883,-0.913206845292857,5675.0,90.7377172587747,0.111769057082241,0.15581753187235,1998-01-08
5585.0,5660.0,5740.0,5750.0,5740.0,5715.0,5680.0,5585.0,1.4950362162051,-0.925081155638614,5695.71428571429,59.1909742154277,0.126901384021092,0.487424000392916,1998-01-09
5720.0,5585.0,5660.0,5740.0,5750.0,5740.0,5715.0,5680.0,1.2939656711899798,-0.925081155638614,5695.71428571429,59.1909742154277,0.121940252429063,0.330503011013475,1998-01-10
5755.0,5720.0,5585.0,5660.0,5740.0,5750.0,5740.0,5715.0,1.2197977999245402,-1.21501613637583,5701.428571428571,59.351655811940496,0.0715109013438301,0.504347549994899,1998-01-11
5730.0,5755.0,5720.0,5585.0,5660.0,5740.0,5750.0,5740.0,0.719651514203693,-1.2160519204146298,5707.1428571428605,62.7068007248246,0.0506629537041073,0.496030957256169,1998-01-12
5745.0,5730.0,5755.0,5720.0,5585.0,5660.0,5740.0,5750.0,0.697241477383057,-1.20468400316113,5705.71428571429,61.9427539095959,0.0540349758516135,0.5164285405624389,1998-01-13
5710.0,5745.0,5730.0,5755.0,5720.0,5585.0,5660.0,5740.0,0.685316850347275,-1.22124179105526,5705.0,61.3731754650732,0.05513209060044,0.5563511280731229,1998-01-14
5690.0,5710.0,5745.0,5730.0,5755.0,5720.0,5585.0,5660.0,0.7611092368797929,-1.14017675362627,5700.71428571429,59.541902012264394,0.0922798178589567,0.39597390301868995,1998-01-15
5645.0,5690.0,5710.0,5745.0,5730.0,5755.0,5720.0,5585.0,0.8427009716003839,-1.46871016201864,5705.0,57.154760664940795,0.12311564689309401,0.8580490543469821,1998-01-16
5655.0,5645.0,5690.0,5710.0,5745.0,5730.0,5755.0,5720.0,1.25270270585805,-0.8023374604231159,5713.571428571429,37.161167647860296,0.0995355511165946,0.329858501524186,1998-01-17
5710.0,5655.0,5645.0,5690.0,5710.0,5745.0,5730.0,5755.0,1.88375550391626,-0.263220260699398,5704.28571428571,42.956234649211204,0.0807122573571459,0.133985694446601,1998-01-18
5655.0,5710.0,5655.0,5645.0,5690.0,5710.0,5745.0,5730.0,1.38857974838588,-0.301623036688539,5697.8571428571395,37.064936581755,0.0650555282379217,0.182576049633539,1998-01-19
5615.0,5655.0,5710.0,5655.0,5645.0,5690.0,5710.0,5745.0,0.9173533819899541,0.26980489073000896,5687.1428571428605,37.064936581755,0.0695240329896657,0.7114271242070229,1998-01-20
5755.0,5615.0,5655.0,5710.0,5655.0,5645.0,5690.0,5710.0,0.8018023551905731,-0.0777116937730477,5668.571428571429,35.7903950935496,0.0833685023988965,0.9163526694085391,1998-01-21
5740.0,5755.0,5615.0,5655.0,5710.0,5655.0,5645.0,5690.0,1.00672115102208,0.525042609642032,5675.0,46.815239683960506,0.0505165830883503,0.329158916300822,1998-01-22
5655.0,5740.0,5755.0,5615.0,5655.0,5710.0,5655.0,5645.0,0.670124548991286,0.253010455858177,5682.1428571428605,52.9037760827101,0.0705804787955739,0.9194529956721931,1998-01-23
5660.0,5655.0,5740.0,5755.0,5615.0,5655.0,5710.0,5655.0,0.642852569363385,0.21966384448375798,5683.571428571429,51.85832348124761,0.0953257493109168,0.7391669296494581,1998-01-24
5660.0,5660.0,5655.0,5740.0,5755.0,5615.0,5655.0,5710.0,0.5835683816256899,0.19370005428173,5684.28571428571,51.43187820056829,0.0803471640366251,0.9197887657071551,1998-01-25
5635.0,5660.0,5660.0,5655.0,5740.0,5755.0,5615.0,5655.0,0.5992449060735631,0.618371731885846,5677.1428571428605,50.7327263589246,0.0949015496057437,0.9027403456346759,1998-01-26
5620.0,5635.0,5660.0,5660.0,5655.0,5740.0,5755.0,5615.0,0.6455490861142099,0.648479516708397,5674.28571428571,52.712156364271706,0.109770372445002,0.962995117205662,1998-01-27
5650.0,5620.0,5635.0,5660.0,5660.0,5655.0,5740.0,5755.0,1.4339435571735901,0.701307796347242,5675.0,51.800900893066796,0.0704936505125089,0.23510873937055,1998-01-28
5630.0,5650.0,5620.0,5635.0,5660.0,5660.0,5655.0,5740.0,1.05711721542693,1.39401051148205,5660.0,38.188130791298704,0.0579358364545523,0.76236881846984,1998-01-29
5550.0,5630.0,5650.0,5620.0,5635.0,5660.0,5660.0,5655.0,0.756995889310244,-0.395107629044536,5644.28571428571,15.9239262925771,0.0802855028672544,0.63312329676686,1998-01-30
5580.0,5550.0,5630.0,5650.0,5620.0,5635.0,5660.0,5660.0,1.7179680055709199,-1.40389922468478,5629.28571428571,38.1257318430929,0.0947440220706245,0.800820110203987,1998-01-31
5640.0,5580.0,5550.0,5630.0,5650.0,5620.0,5635.0,5660.0,1.00530713212034,-0.743719233254822,5617.8571428571395,39.3549174031597,0.0800032468291302,0.3988563453261121,1998-02-01
5690.0,5640.0,5580.0,5550.0,5630.0,5650.0,5620.0,5635.0,0.8029750036256971,-0.923790581936205,5615.0,36.4005494464026,0.0655396643810043,0.68350960566687,1998-02-02
5705.0,5690.0,5640.0,5580.0,5550.0,5630.0,5650.0,5620.0,0.837213972399351,-0.252695102981413,5622.8571428571395,46.0848079502294,0.0566093738798871,0.515146772229891,1998-02-03
5630.0,5705.0,5690.0,5640.0,5580.0,5550.0,5630.0,5650.0,0.955229243695915,-0.28267274985814,5635.0,55.4526825320471,0.0496217394250717,0.203129753301464,1998-02-04
5675.0,5630.0,5705.0,5690.0,5640.0,5580.0,5550.0,5630.0,0.9850308189522371,-0.12415205178279999,5632.1428571428605,55.06489677773721,0.0816024085872972,0.213007248631025,1998-02-05
5625.0,5675.0,5630.0,5705.0,5690.0,5640.0,5580.0,5550.0,1.06638521619172,-0.399740352121598,5638.571428571429,57.352294760416605,0.0993438492222551,0.301184643222095,1998-02-06
5730.0,5625.0,5675.0,5630.0,5705.0,5690.0,5640.0,5580.0,0.7857756434866991,-0.215500763570025,5649.28571428571,43.342489875080204,0.109837758483017,0.936618195128765,1998-02-07
5680.0,5730.0,5625.0,5675.0,5630.0,5705.0,5690.0,5640.0,0.712557758487333,0.175122353870159,5670.71428571429,40.355562548073,0.0708488484607908,0.23269949478792,1998-02-08
5560.0,5680.0,5730.0,5625.0,5675.0,5630.0,5705.0,5690.0,0.5241092647242921,-0.184650266877163,5676.428571428571,38.047589248453704,0.0702777846190727,0.30568073701962895,1998-02-09
5480.0,5560.0,5680.0,5730.0,5625.0,5675.0,5630.0,5705.0,0.745695021852235,-0.478627966359919,5657.8571428571395,57.217213527132905,0.0958920427283871,0.47581657600389005,1998-02-10
5620.0,5480.0,5560.0,5680.0,5730.0,5625.0,5675.0,5630.0,0.941250957239548,-0.6074853291283969,5625.71428571429,83.4879517968796,0.126382419799754,0.456474716793795,1998-02-11
5650.0,5620.0,5480.0,5560.0,5680.0,5730.0,5625.0,5675.0,0.9768180960533491,-0.5521147587467571,5624.28571428571,83.4879517968796,0.0687465329291664,0.43597556179597297,1998-02-12
5640.0,5650.0,5620.0,5480.0,5560.0,5680.0,5730.0,5625.0,0.7016779783522551,-0.489833172580394,5620.71428571429,81.4672005282172,0.0638751067704317,0.42640847945671506,1998-02-13
5710.0,5640.0,5650.0,5620.0,5480.0,5560.0,5680.0,5730.0,0.793344622811162,-0.566541211640264,5622.8571428571395,81.7953311043863,0.0347510362867662,0.4173215753292929,1998-02-14
5615.0,5710.0,5640.0,5650.0,5620.0,5480.0,5560.0,5680.0,0.766466959581317,-0.7605913018019409,5620.0,77.6745346515403,0.0301091383144957,0.598730649260228,1998-02-15
5635.0,5615.0,5710.0,5640.0,5650.0,5620.0,5480.0,5560.0,0.8826721838937,-0.5995538729788149,5610.71428571429,73.0541221417708,0.0959147574670269,0.39641664710439006,1998-02-16
5775.0,5635.0,5615.0,5710.0,5640.0,5650.0,5620.0,5480.0,0.794460993640956,-1.1125636636367,5621.428571428571,69.804147782342,0.12192833629638901,0.8791517671236599,1998-02-17
5810.0,5775.0,5635.0,5615.0,5710.0,5640.0,5650.0,5620.0,0.94309547239786,1.1338656451728701,5663.571428571429,58.289098874652794,0.0571654031214834,0.5826405899576209,1998-02-18
5675.0,5810.0,5775.0,5635.0,5615.0,5710.0,5640.0,5650.0,0.866136613755463,0.61140930018772,5690.71428571429,76.12646120264691,0.0520242410920525,0.483765472798852,1998-02-19
5595.0,5675.0,5810.0,5775.0,5635.0,5615.0,5710.0,5640.0,0.8690367081824679,0.525401622740712,5694.28571428571,74.46635545827449,0.0986935805819002,0.695356366488902,1998-02-20
5590.0,5595.0,5675.0,5810.0,5775.0,5635.0,5615.0,5710.0,0.7425801064518159,0.38439950330993705,5687.8571428571395,81.5402325469429,0.104746564267566,0.6003678366783249,1998-02-21
5585.0,5590.0,5595.0,5675.0,5810.0,5775.0,5635.0,5615.0,0.826703026122894,0.6919260183531329,5670.71428571429,88.43211009151649,0.127989340456938,0.279613058800347,1998-02-22
5555.0,5585.0,5590.0,5595.0,5675.0,5810.0,5775.0,5635.0,0.8688557711692231,0.655844262513221,5666.428571428571,92.2277202415433,0.116218778547298,0.204479562326378,1998-02-23
5590.0,5555.0,5585.0,5590.0,5595.0,5675.0,5810.0,5775.0,1.4821083811214502,0.628296551333434,5655.0,101.283430694923,0.0704874971344193,0.12226764823298501,1998-02-24
5640.0,5590.0,5555.0,5585.0,5590.0,5595.0,5675.0,5810.0,1.57016931502376,1.4356496935087202,5628.571428571429,88.0205603686948,0.0324600522784041,0.365982121819702,1998-02-25
5695.0,5640.0,5590.0,5555.0,5585.0,5590.0,5595.0,5675.0,0.946014922161722,0.7505397138896871,5604.28571428571,39.940431835899,0.0446687469903354,0.8044041774239691,1998-02-26
5735.0,5695.0,5640.0,5590.0,5555.0,5585.0,5590.0,5595.0,1.4105024347099702,1.01002029965059,5607.1428571428605,46.0848079502294,0.0538654604027227,0.303121502707836,1998-02-27
