target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,Tm19,Tm20,Tm21,Tm22,Tm23,Tm24,Tm25,Tm26,Tm27,Tm28,Tm29,trend,skew,mean,stddev,hurst,serialcorr,date
149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,113.312780494,113.312780494,113.312780494,113.312780494,113.312780494,113.312780494,2.50924004280443,0.298075367356617,158.47603701331002,45.29615033281079,0.00983804490440495,1.37469118399736e-06,2016-01-01 02:00:00
302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,113.312780494,113.312780494,113.312780494,113.312780494,113.312780494,2.30404719779593,0.265618931373455,159.737472149172,44.4957999638684,0.0637748748543665,1.5672067630312401e-06,2016-01-01 03:00:00
310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,113.312780494,113.312780494,113.312780494,113.312780494,2.63436154124171,0.6166341355900771,166.26504649531,50.870588568837604,-0.261002528238877,0.000775638718697236,2016-01-01 04:00:00
310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,113.312780494,113.312780494,113.312780494,1.6137007184323897,0.717256631918687,173.05114757689702,56.3822196162461,-0.0094027173460589,0.000209756921662696,2016-01-01 05:00:00
302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,113.312780494,113.312780494,1.73636497725667,0.688740537668999,179.83724865848302,60.61931120901399,0.14204315708814497,7.54471292728764e-05,2016-01-01 06:00:00
310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,113.312780494,1.8140489519679401,0.5950923774352961,186.364823004621,63.3313844773979,0.211509003627167,3.5080091306260996e-05,2016-01-01 07:00:00
310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,176.889270242,1.98325612704357,0.508585892930889,193.150924086207,65.7226075500913,0.17727621364842,9.653682909505079e-06,2016-01-01 08:00:00
310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,184.38654557,2.08558738309872,0.41071243828534404,197.74473241786202,69.1137363559537,0.17256812684293402,5.60435585905683e-06,2016-01-01 09:00:00
302.612436532,310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,220.04316451,2.2150072135455896,0.31533726872089196,202.08001401406898,72.1234659669454,0.135984690577108,3.34692691783545e-06,2016-01-01 10:00:00
302.612436532,302.612436532,310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,212.545889182,2.29096897956767,0.258848609655689,204.92723029069,74.4501852230062,0.15087515150342498,2.18902191195802e-06,2016-01-01 11:00:00
302.612436532,302.612436532,302.612436532,310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,220.04316451,2.3536437935505496,0.188869562932036,208.03297330275902,76.6261504779094,0.13099646507117,1.7457859260439098e-06,2016-01-01 12:00:00
310.10971186,302.612436532,302.612436532,302.612436532,310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,220.04316451,2.41418122948543,0.127568401225725,210.880189579379,78.59703098591321,0.11721291672705698,1.43595453983014e-06,2016-01-01 13:00:00
310.10971186,310.10971186,302.612436532,302.612436532,302.612436532,310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,220.04316451,2.4794752181981,0.0676890104866879,213.98593259144798,80.7227676917433,0.0953237020821621,1.31801347347249e-06,2016-01-01 14:00:00
199.110933808,310.10971186,310.10971186,302.612436532,302.612436532,302.612436532,310.10971186,310.10971186,310.10971186,302.612436532,310.10971186,310.10971186,302.612436532,149.894399434,148.969399434,113.312780494,113.312780494,113.312780494,113.312780494,124.55869348600001,124.55869348600001,124.55869348600001,124.55869348600001,155.95703954,163.45431486799998,184.38654557,220.04316451,212.545889182,212.545889182,212.545889182,2.54400604988455,0.005375344888483479,217.091675603517,82.6731934441538,0.10115504641697001,1.10553594279139e-06,2016-01-01 15:00:00
