target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
0.86,2011-01-01,1,0,6,0,1,0.2,0.2576,0.8,0.75,0.75,0.75,0.8,0.8,0.81
0.75,2011-01-01,1,0,6,0,1,0.24,0.2879,0.86,0.8,0.75,0.75,0.75,0.8,0.8
0.76,2011-01-01,1,0,6,0,1,0.32,0.3485,0.75,0.86,0.8,0.75,0.75,0.75,0.8
0.76,2011-01-01,1,0,6,0,1,0.38,0.3939,0.76,0.75,0.86,0.8,0.75,0.75,0.75
0.81,2011-01-01,1,0,6,0,1,0.36,0.3333,0.76,0.76,0.75,0.86,0.8,0.75,0.75
0.77,2011-01-01,1,0,6,0,1,0.42,0.4242,0.81,0.76,0.76,0.75,0.86,0.8,0.75
0.72,2011-01-01,1,0,6,0,2,0.46,0.4545,0.77,0.81,0.76,0.76,0.75,0.86,0.8
0.72,2011-01-01,1,0,6,0,2,0.46,0.4545,0.72,0.77,0.81,0.76,0.76,0.75,0.86
0.77,2011-01-01,1,0,6,0,2,0.44,0.4394,0.72,0.72,0.77,0.81,0.76,0.76,0.75
0.82,2011-01-01,1,0,6,0,2,0.42,0.4242,0.77,0.72,0.72,0.77,0.81,0.76,0.76
0.82,2011-01-01,1,0,6,0,2,0.44,0.4394,0.82,0.77,0.72,0.72,0.77,0.81,0.76
0.88,2011-01-01,1,0,6,0,3,0.42,0.4242,0.82,0.82,0.77,0.72,0.72,0.77,0.81
0.88,2011-01-01,1,0,6,0,3,0.42,0.4242,0.88,0.82,0.82,0.77,0.72,0.72,0.77
0.87,2011-01-01,1,0,6,0,2,0.4,0.4091,0.88,0.88,0.82,0.82,0.77,0.72,0.72
0.87,2011-01-01,1,0,6,0,2,0.4,0.4091,0.87,0.88,0.88,0.82,0.82,0.77,0.72
0.94,2011-01-01,1,0,6,0,2,0.4,0.4091,0.87,0.87,0.88,0.88,0.82,0.82,0.77
0.88,2011-01-01,1,0,6,0,2,0.46,0.4545,0.94,0.87,0.87,0.88,0.88,0.82,0.82
0.88,2011-01-02,1,0,0,0,2,0.46,0.4545,0.88,0.94,0.87,0.87,0.88,0.88,0.82
0.94,2011-01-02,1,0,0,0,2,0.44,0.4394,0.88,0.88,0.94,0.87,0.87,0.88,0.88
1.0,2011-01-02,1,0,0,0,2,0.42,0.4242,0.94,0.88,0.88,0.94,0.87,0.87,0.88
0.94,2011-01-02,1,0,0,0,2,0.46,0.4545,1.0,0.94,0.88,0.88,0.94,0.87,0.87
0.94,2011-01-02,1,0,0,0,2,0.46,0.4545,0.94,1.0,0.94,0.88,0.88,0.94,0.87
0.77,2011-01-02,1,0,0,0,3,0.42,0.4242,0.94,0.94,1.0,0.94,0.88,0.88,0.94
0.76,2011-01-02,1,0,0,0,2,0.4,0.4091,0.77,0.94,0.94,1.0,0.94,0.88,0.88
0.71,2011-01-02,1,0,0,0,3,0.4,0.4091,0.76,0.77,0.94,0.94,1.0,0.94,0.88
0.76,2011-01-02,1,0,0,0,2,0.38,0.3939,0.71,0.76,0.77,0.94,0.94,1.0,0.94
0.81,2011-01-02,1,0,0,0,2,0.36,0.3485,0.76,0.71,0.76,0.77,0.94,0.94,1.0
0.71,2011-01-02,1,0,0,0,2,0.36,0.3333,0.81,0.76,0.71,0.76,0.77,0.94,0.94
