target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
0.0,2011-01-01,1,0,6,0,1,0.2,0.2576,0.0,0.0896,0.0,0.0,0.0,0.0,0.0
0.0,2011-01-01,1,0,6,0,1,0.24,0.2879,0.0,0.0,0.0896,0.0,0.0,0.0,0.0
0.0,2011-01-01,1,0,6,0,1,0.32,0.3485,0.0,0.0,0.0,0.0896,0.0,0.0,0.0
0.2537,2011-01-01,1,0,6,0,1,0.38,0.3939,0.0,0.0,0.0,0.0,0.0896,0.0,0.0
0.2836,2011-01-01,1,0,6,0,1,0.36,0.3333,0.2537,0.0,0.0,0.0,0.0,0.0896,0.0
0.2836,2011-01-01,1,0,6,0,1,0.42,0.4242,0.2836,0.2537,0.0,0.0,0.0,0.0,0.0896
0.2985,2011-01-01,1,0,6,0,2,0.46,0.4545,0.2836,0.2836,0.2537,0.0,0.0,0.0,0.0
0.2836,2011-01-01,1,0,6,0,2,0.46,0.4545,0.2985,0.2836,0.2836,0.2537,0.0,0.0,0.0
0.2985,2011-01-01,1,0,6,0,2,0.44,0.4394,0.2836,0.2985,0.2836,0.2836,0.2537,0.0,0.0
0.2985,2011-01-01,1,0,6,0,2,0.42,0.4242,0.2985,0.2836,0.2985,0.2836,0.2836,0.2537,0.0
0.2836,2011-01-01,1,0,6,0,2,0.44,0.4394,0.2985,0.2985,0.2836,0.2985,0.2836,0.2836,0.2537
0.2537,2011-01-01,1,0,6,0,3,0.42,0.4242,0.2836,0.2985,0.2985,0.2836,0.2985,0.2836,0.2836
0.2537,2011-01-01,1,0,6,0,3,0.42,0.4242,0.2537,0.2836,0.2985,0.2985,0.2836,0.2985,0.2836
0.2537,2011-01-01,1,0,6,0,2,0.4,0.4091,0.2537,0.2537,0.2836,0.2985,0.2985,0.2836,0.2985
0.19399999999999998,2011-01-01,1,0,6,0,2,0.4,0.4091,0.2537,0.2537,0.2537,0.2836,0.2985,0.2985,0.2836
0.2239,2011-01-01,1,0,6,0,2,0.4,0.4091,0.19399999999999998,0.2537,0.2537,0.2537,0.2836,0.2985,0.2985
0.2985,2011-01-01,1,0,6,0,2,0.46,0.4545,0.2239,0.19399999999999998,0.2537,0.2537,0.2537,0.2836,0.2985
0.2985,2011-01-02,1,0,0,0,2,0.46,0.4545,0.2985,0.2239,0.19399999999999998,0.2537,0.2537,0.2537,0.2836
0.2537,2011-01-02,1,0,0,0,2,0.44,0.4394,0.2985,0.2985,0.2239,0.19399999999999998,0.2537,0.2537,0.2537
0.2836,2011-01-02,1,0,0,0,2,0.42,0.4242,0.2537,0.2985,0.2985,0.2239,0.19399999999999998,0.2537,0.2537
0.19399999999999998,2011-01-02,1,0,0,0,2,0.46,0.4545,0.2836,0.2537,0.2985,0.2985,0.2239,0.19399999999999998,0.2537
0.19399999999999998,2011-01-02,1,0,0,0,2,0.46,0.4545,0.19399999999999998,0.2836,0.2537,0.2985,0.2985,0.2239,0.19399999999999998
0.2985,2011-01-02,1,0,0,0,3,0.42,0.4242,0.19399999999999998,0.19399999999999998,0.2836,0.2537,0.2985,0.2985,0.2239
