target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,trend,skew,mean,stddev,hurst,serialcorr,date
73610634839,87211742250,89967660859,90457410673,90146117117,90247922345,88796995092,82534038485,76456162968,56718587433,1.54655081981522,-1.78255279073776,83615181913.5556,11121207755.3922,0.21401988221382998,0.245075605340096,2005-06-07 07:00:00
56695326238,73610634839,87211742250,89967660859,90457410673,90146117117,90247922345,88796995092,82534038485,76456162968,1.89712365836404,-0.9709922136563071,85492076069.7778,6465385506.30739,0.2229428911391,0.43299938494177104,2005-06-07 08:00:00
48110601866,56695326238,73610634839,87211742250,89967660859,90457410673,90146117117,90247922345,88796995092,82534038485,1.86946869891978,-1.6298127021452298,83296427544.2222,11394224969.3787,0.245928374447987,0.22032926067791897,2005-06-07 09:00:00
44406878766,48110601866,56695326238,73610634839,87211742250,89967660859,90457410673,90146117117,90247922345,88796995092,2.1945540229358302,-1.1067861358076698,79471601253.2222,16372325458.6673,0.201299314498579,0.0624489120903563,2005-06-07 10:00:00
43050199070,44406878766,48110601866,56695326238,73610634839,87211742250,89967660859,90457410673,90146117117,90247922345,2.77363208199632,-0.601684703787731,74539366105.8889,19583327182.5694,0.169855724057779,0.030889832860871005,2005-06-07 11:00:00
36961508495,43050199070,44406878766,48110601866,56695326238,73610634839,87211742250,89967660859,90457410673,90146117117,3.16112367087836,-0.16618638831777602,69295174630.8889,21110864003.4436,0.150302524493864,0.0221256084409931,2005-06-07 12:00:00
31555022712,36961508495,43050199070,44406878766,48110601866,56695326238,73610634839,87211742250,89967660859,90457410673,3.4233206388630597,0.19573186760297,63385773672.8889,21970900123.4059,0.13119177576597,0.0271735375273527,2005-06-07 13:00:00
27467342825,31555022712,36961508495,43050199070,44406878766,48110601866,56695326238,73610634839,87211742250,89967660859,3.71939782154475,0.5191874534959829,56841063899.4444,21669643976.5464,0.0718938633189222,0.0400480697125246,2005-06-07 14:00:00
25041832565,27467342825,31555022712,36961508495,43050199070,44406878766,48110601866,56695326238,73610634839,87211742250,3.54635195074588,0.7954270717564921,49896584117.8889,19646881525.0433,-0.0396416047619613,0.0772722480204826,2005-06-07 15:00:00
21160963384,25041832565,27467342825,31555022712,36961508495,43050199070,44406878766,48110601866,56695326238,73610634839,3.0267966674990805,0.7408496117825709,42988816375.1111,15345528586.9803,-0.0815700431038034,0.103684311868625,2005-06-07 16:00:00
19820358830,21160963384,25041832565,27467342825,31555022712,36961508495,43050199070,44406878766,48110601866,56695326238,4.891297608722651,0.19192436360409804,37161075102.3333,11816187339.8047,0.0216175144117552,0.0595232018391113,2005-06-07 17:00:00
19088172849,19820358830,21160963384,25041832565,27467342825,31555022712,36961508495,43050199070,44406878766,48110601866,6.4899157661379805,0.13868211838733402,33063856501.4444,10517883205.6998,0.0825927445722195,0.0345676556147004,2005-06-07 18:00:00
23204098006,19088172849,19820358830,21160963384,25041832565,27467342825,31555022712,36961508495,43050199070,44406878766,5.18189972108088,0.391796091710057,29839142166.2222,9748929951.6875,0.0673246988612692,0.0323559627335953,2005-06-07 19:00:00
26290215100,23204098006,19088172849,19820358830,21160963384,25041832565,27467342825,31555022712,36961508495,43050199070,4.0938258059226795,0.7851361688476808,27483277637.3333,8232459109.256009,-0.0534789918099081,0.0526238134491543,2005-06-07 20:00:00
42380697686,26290215100,23204098006,19088172849,19820358830,21160963384,25041832565,27467342825,31555022712,36961508495,1.85098835033089,0.741471143741655,25621057196.2222,5810234875.524839,-0.0740932914600288,0.0798087460773708,2005-06-07 21:00:00
70062696507,42380697686,26290215100,23204098006,19088172849,19820358830,21160963384,25041832565,27467342825,31555022712,2.24269899679385,1.25430004816482,26223189328.5556,7237811135.053841,-0.22160726649571602,0.42409963717574894,2005-06-07 22:00:00
80545779973,70062696507,42380697686,26290215100,23204098006,19088172849,19820358830,21160963384,25041832565,27467342825,2.4120534268743596,1.7907694122453701,30501819750.2222,16385211007.4407,-0.260648839495436,0.250217377656497,2005-06-07 23:00:00
92844295517,80545779973,70062696507,42380697686,26290215100,23204098006,19088172849,19820358830,21160963384,25041832565,2.04109727986804,1.1194613921572099,36399423877.7778,23264660465.5749,-0.0504820199589507,0.0612411341512241,2005-06-08 00:00:00
96880965179,92844295517,80545779973,70062696507,42380697686,26290215100,23204098006,19088172849,19820358830,21160963384,2.7951224927382303,0.675370125183054,43933030872.4444,29317628991.3962,0.0355161872313284,0.0376984994927695,2005-06-08 01:00:00
90932927706,96880965179,92844295517,80545779973,70062696507,42380697686,26290215100,23204098006,19088172849,19820358830,3.4045260589672797,0.25961407596972397,52346364405.2222,32642085596.7538,0.106548952061381,0.0256918363882754,2005-06-08 02:00:00
91291134373,90932927706,96880965179,92844295517,80545779973,70062696507,42380697686,26290215100,23204098006,19088172849,3.6809977972000496,-0.169422948616327,60247760947.0,32390467810.2567,0.19201117830789605,0.0223070173276734,2005-06-08 03:00:00
91713661478,91291134373,90932927706,96880965179,92844295517,80545779973,70062696507,42380697686,26290215100,23204098006,2.7703104671552,-0.5983670148481129,68270312227.4444,29756231741.3954,0.203070964850968,0.0298320289400983,2005-06-08 04:00:00
90959467260,91713661478,91291134373,90932927706,96880965179,92844295517,80545779973,70062696507,42380697686,26290215100,2.2775832896300896,-1.11413971299951,75882485946.5556,25200661898.1578,0.21267248405404798,0.0711121650073139,2005-06-08 05:00:00
79385942062,90959467260,91713661478,91291134373,90932927706,96880965179,92844295517,80545779973,70062696507,42380697686,1.56310584703089,-1.6450334180017598,83067958408.7778,17262060233.724,0.22017163805807502,0.21513677988527302,2005-06-08 06:00:00
62489604464,79385942062,90959467260,91713661478,91291134373,90932927706,96880965179,92844295517,80545779973,70062696507,1.32667805457257,-0.924956012444807,87179652228.3333,8586177938.731141,0.23943855505554798,0.33612971570070505,2005-06-08 07:00:00
56243244765,62489604464,79385942062,90959467260,91713661478,91291134373,90932927706,96880965179,92844295517,80545779973,1.41410569748473,-1.35270301113287,86338197556.8889,10606692960.8534,0.26407599266632503,0.338333533203734,2005-06-08 08:00:00
50040519394,56243244765,62489604464,79385942062,90959467260,91713661478,91291134373,90932927706,96880965179,92844295517,1.93921105405335,-1.0738944287969898,83637915867.1111,14605417983.4449,0.17941197020679,0.0692613779141583,2005-06-08 09:00:00
46874882633,50040519394,56243244765,62489604464,79385942062,90959467260,91713661478,91291134373,90932927706,96880965179,2.71690255196097,-0.6215525390427838,78881940742.3333,17843065196.2992,0.129000565975409,0.0449291171231524,2005-06-08 10:00:00
41135776475,46874882633,50040519394,56243244765,62489604464,79385942062,90959467260,91713661478,91291134373,90932927706,2.9329456022242795,-0.263402107011171,73325709348.3333,19266685389.5673,0.157316523098578,0.0255157934017354,2005-06-08 11:00:00
33502564447,41135776475,46874882633,50040519394,56243244765,62489604464,79385942062,90959467260,91713661478,91291134373,3.37007470974763,0.0791276372076804,67792692544.8889,20676951216.1939,0.14382619304705,0.0271674491840996,2005-06-08 12:00:00
28113068984,33502564447,41135776475,46874882633,50040519394,56243244765,62489604464,79385942062,90959467260,91713661478,3.9674210434871,0.33848202755884305,61371740330.8889,21426820119.2605,0.0963069645242633,0.0391794619218311,2005-06-08 13:00:00
24938212968,28113068984,33502564447,41135776475,46874882633,50040519394,56243244765,62489604464,79385942062,90959467260,4.49505760825962,0.54017956195929,54305007831.5556,20642576239.092,-0.006817888508441999,0.0671051949534979,2005-06-08 14:00:00
21893717932,24938212968,28113068984,33502564447,41135776475,46874882633,50040519394,56243244765,62489604464,79385942062,3.9460701766165,0.461761917356282,46969312910.2222,17476681231.8966,-0.04405954317619099,0.0804691221233538,2005-06-08 15:00:00
20344443618,21893717932,24938212968,28113068984,33502564447,41135776475,46874882633,50040519394,56243244765,62489604464,8.698133991966571,0.125124793445341,40581288006.8889,14379503440.2622,0.0514495906146881,0.0411382923303025,2005-06-08 16:00:00
19757922807,20344443618,21893717932,24938212968,28113068984,33502564447,41135776475,46874882633,50040519394,56243244765,7.29506617018093,0.255908038466915,35898492357.3333,13164152643.0863,0.0527816430266737,0.0371333916529549,2005-06-08 17:00:00
19588672617,19757922807,20344443618,21893717932,24938212968,28113068984,33502564447,41135776475,46874882633,50040519394,5.59026607428002,0.4677973663823611,31844567695.3333,11646134588.7657,0.0553578038338168,0.0331954936631549,2005-06-08 18:00:00
21350728448,19588672617,19757922807,20344443618,21893717932,24938212968,28113068984,33502564447,41135776475,46874882633,4.01379090532309,0.8187467726436,28461029164.5556,10007115692.8754,-0.0148436318247073,0.0510341208176887,2005-06-08 19:00:00
34965445638,21350728448,19588672617,19757922807,20344443618,21893717932,24938212968,28113068984,33502564447,41135776475,2.7675263591174604,1.14854323149378,25625012032.8889,7418206943.95963,-0.0775029503395717,0.0828160460340112,2005-06-08 20:00:00
58397356904,34965445638,21350728448,19588672617,19757922807,20344443618,21893717932,24938212968,28113068984,33502564447,2.52781526268273,0.759978347331364,24939419717.6667,5944197896.43535,-0.222922236132202,0.420344762750211,2005-06-08 21:00:00
79198224742,58397356904,34965445638,21350728448,19588672617,19757922807,20344443618,21893717932,24938212968,28113068984,2.15285394858821,1.8370173897954198,27705507768.4444,12549466294.5437,-0.28070902843476697,0.330100779409021,2005-06-08 22:00:00
89726734078,79198224742,58397356904,34965445638,21350728448,19588672617,19757922807,20344443618,21893717932,24938212968,2.14620671345565,1.38501748713995,33381636186.0,21275809987.7659,-0.132960035975627,0.107124031361093,2005-06-08 23:00:00
92701958472,89726734078,79198224742,58397356904,34965445638,21350728448,19588672617,19757922807,20344443618,21893717932,2.58237845341831,0.8578740623951859,40580360753.7778,27969547429.4821,0.0171380907492275,0.0423882005043816,2005-06-09 00:00:00
89941544749,92701958472,89726734078,79198224742,58397356904,34965445638,21350728448,19588672617,19757922807,20344443618,3.1925933894219,0.39268913933719896,48447943036.0,31758355863.7016,0.114818506278344,0.0244976302103513,2005-06-09 01:00:00
93225272251,89941544749,92701958472,89726734078,79198224742,58397356904,34965445638,21350728448,19588672617,19757922807,3.46114748198302,-0.04614584770908,56180954272.7778,32523957469.4763,0.182473783549776,0.0196573166754883,2005-06-09 02:00:00
93840519305,93225272251,89941544749,92701958472,89726734078,79198224742,58397356904,34965445638,21350728448,19588672617,3.1694654875855397,-0.475129830055984,64343993099.8889,31441194957.9861,0.180356812598966,0.026847975710825003,2005-06-09 03:00:00
91765453742,93840519305,93225272251,89941544749,92701958472,89726734078,79198224742,58397356904,34965445638,21350728448,2.8546359882153203,-0.9528365249653851,72594198287.4444,27755187125.5638,0.195866728764918,0.05320819277657799,2005-06-09 04:00:00
84996841280,91765453742,93840519305,93225272251,89941544749,92701958472,89726734078,79198224742,58397356904,34965445638,2.00600034890156,-1.4687531287226698,80418056653.4444,20474167553.0937,0.22486649161928,0.129684698143274,2005-06-09 05:00:00
70779170417,84996841280,91765453742,93840519305,93225272251,89941544749,92701958472,89726734078,79198224742,58397356904,1.36233209188278,-1.79676824894573,85977100613.6667,11349179423.5704,0.24710353747705102,0.323673787735195,2005-06-09 06:00:00
53526087319,70779170417,84996841280,91765453742,93840519305,93225272251,89941544749,92701958472,89726734078,79198224742,1.4049498365770199,-1.23017047240934,87352857670.6667,7776016336.78875,0.240858403720691,0.46516874866952596,2005-06-09 07:00:00
46784929778,53526087319,70779170417,84996841280,91765453742,93840519305,93225272251,89941544749,92701958472,89726734078,2.2096493795243304,-1.54573906987879,84500397957.0,13639350502.4081,0.21740416012705396,0.154629436615107,2005-06-09 08:00:00
44815865828,46784929778,53526087319,70779170417,84996841280,91765453742,93840519305,93225272251,89941544749,92701958472,2.3976006269288197,-0.9534261552337929,79729086368.1111,18297910670.4407,0.18312075672488298,0.0506982564764145,2005-06-09 09:00:00
43427241554,44815865828,46784929778,53526087319,70779170417,84996841280,91765453742,93840519305,93225272251,89941544749,2.7665062843191803,-0.46851590827895,74408409407.6667,20839743902.0654,0.183842803800156,0.0241824566837452,2005-06-09 10:00:00
35995811572,43427241554,44815865828,46784929778,53526087319,70779170417,84996841280,91765453742,93840519305,93225272251,3.3455591266535896,-0.0355180802411051,69240153497.1111,22227561868.2676,0.140496466114405,0.0214190639231396,2005-06-09 11:00:00
29517833610,35995811572,43427241554,44815865828,46784929778,53526087319,70779170417,84996841280,91765453742,93840519305,3.60174456515104,0.310992260675228,62881324532.7778,22689491094.6623,0.108210300264869,0.0316674379098693,2005-06-09 12:00:00
