target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,trend,skew,mean,stddev,hurst,serialcorr,date
-10.1,26.75,27.95,10.593044671459198,31.15,17.9,14.05,-12.1,0.8273723666285409,-1.02135654578913,16.6132920959227,14.784633213579,-0.22866604647714603,0.922604663155788,1998-01-01
-3.4,-10.1,26.75,27.95,10.593044671459198,31.15,17.9,14.05,0.951650356776246,-0.938937057730729,16.899006381637,14.1426522654302,-0.32184303813227805,0.500978979685073,1998-01-02
-7.9,-3.4,-10.1,26.75,27.95,10.593044671459198,31.15,17.9,0.7035177319285261,-0.485669441800182,14.4061492387799,16.127203436954698,-0.17022485657728198,0.679038570757633,1998-01-03
13.1,-7.9,-3.4,-10.1,26.75,27.95,10.593044671459198,31.15,0.829662257077358,-0.016485516153946,10.720434953065599,18.0313893730311,-0.16718347981357,0.502377972270106,1998-01-04
24.25,13.1,-7.9,-3.4,-10.1,26.75,27.95,10.593044671459198,0.774832116020355,0.12002505959996301,8.14186352449417,15.7720110948219,-0.14298300021000898,0.485067543863127,1998-01-05
7.25,24.25,13.1,-7.9,-3.4,-10.1,26.75,27.95,0.7932955011904891,-0.123750475591169,10.092857142857099,16.9280691104899,-0.227263725935031,0.47446971683076206,1998-01-06
29.3,7.25,24.25,13.1,-7.9,-3.4,-10.1,26.75,0.672327177635283,0.164881859470543,7.135714285714291,14.9852626015728,-0.409657080804295,0.974482320286006,1998-01-07
20.9,29.3,7.25,24.25,13.1,-7.9,-3.4,-10.1,1.06174117584422,0.23103283237959502,7.5,15.5614641556207,-0.19218010711914302,0.514910326191694,1998-01-08
-9.5,20.9,29.3,7.25,24.25,13.1,-7.9,-3.4,0.830105953490864,-0.23748484631198802,11.9285714285714,14.0562517865082,-0.132336598928568,0.486117844473284,1998-01-09
1.5,-9.5,20.9,29.3,7.25,24.25,13.1,-7.9,0.867114484270248,-0.31297449820900297,11.057142857142901,15.2990857180919,-0.25014656080316505,0.771380656451949,1998-01-10
1.75,1.5,-9.5,20.9,29.3,7.25,24.25,13.1,0.64655010682495,-0.33922939114221307,12.4,13.685241442274,-0.25456507747136,0.894278734324291,1998-01-11
0.5,1.75,1.5,-9.5,20.9,29.3,7.25,24.25,0.674076939983057,-0.00512465132167095,10.7785714285714,14.2492355684687,-0.282924604066019,0.7590162031446099,1998-01-12
-19.8,0.5,1.75,1.5,-9.5,20.9,29.3,7.25,0.6660011773327691,0.571064097100942,7.385714285714291,13.3030921933497,-0.160576609720569,0.55593222837605,1998-01-13
