target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,Tm19,Tm20,trend,skew,mean,stddev,hurst,serialcorr,date
25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,27.8,27.8,27.8,28.4,29.0,30.2,1.9324169653623602,0.30315452333219,27.32,1.16600984016792,0.0166206691030748,0.0100046723837913,1972-01-01
26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,27.8,27.8,27.8,28.4,29.0,1.57834634849791,-0.32478301125162395,27.095,1.00392650181805,0.00869767175855452,0.00378959566132275,1972-01-02
26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,27.8,27.8,27.8,28.4,1.4103945950165502,-0.490329318754624,26.955,0.915638977349756,0.00022131502609144701,0.00268826839037772,1972-01-03
26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,27.8,27.8,27.8,1.3162406965216102,-0.47923995126546004,26.845,0.863575797422981,0.0133244074254224,0.00203342354288039,1972-01-04
26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,27.8,27.8,1.2869319175033997,-0.322391955223822,26.765,0.8443465240241,0.0187510784654396,0.0026028699184949,1972-01-05
25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,27.8,1.24442641562473,-0.18186134552339603,26.685,0.8164589782456291,0.0215899718386685,0.0038028217485314205,1972-01-06
26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,27.8,1.21994155109168,-0.033438221339697004,26.58,0.800394639504394,0.0283447506246111,0.00828879385822368,1972-01-07
26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,27.8,1.13246462046917,0.0498314974840407,26.5,0.750438468321583,0.0149951826640699,0.0148224966595032,1972-01-08
28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,27.8,1.0143171484795301,-0.051835783677762995,26.445,0.6878456069114411,0.00414317581737764,0.0503367507771219,1972-01-09
29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,27.3,1.11120234353747,0.454359907673261,26.475,0.7594145944843241,-0.0100342980887299,0.17290936136717996,1972-01-10
27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,27.3,1.17038719836126,1.00016468347454,26.56,0.932117001917226,-0.008685379999636209,0.0381638849725856,1972-01-11
27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,27.3,1.18991644500683,0.929080314296896,26.585,0.9593171913836479,0.0149589443308723,0.0093147660126246,1972-01-12
26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,26.2,1.17676616794556,0.929080314296896,26.585,0.9593171913836479,0.0397960398947356,0.0038173612298074704,1972-01-13
26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,25.2,1.21868912963023,0.8640193260422991,26.61,0.9552624329415842,0.0631378578018384,0.00527767841133053,1972-01-14
25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,26.7,1.24502238599424,1.0001892279526,26.685,0.8957648892662099,0.0308620424868743,0.0014658135622451802,1972-01-15
26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,26.7,1.28203799143522,1.0172921913019202,26.635,0.9223967635858679,0.0356205593129425,0.00274394686885437,1972-01-16
