target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,trend,skew,mean,stddev,hurst,serialcorr,date
6,-3,0,-1,-1,-1,-2,-2,1,1,1.0141542150628902,0.105727180444286,-0.8888888888888891,1.3642254619787402,-0.41405011272942893,0.859809306379476,2010-01-02
3,6,-3,0,-1,-1,-1,-2,-2,1,1.53979470772421,1.62743006235958,-0.33333333333333304,2.64575131106459,-0.7747592832908009,0.4080211732151479,2010-01-03
7,3,6,-3,0,-1,-1,-1,-2,-2,0.7663917548089101,1.25487159992705,-0.111111111111111,2.8480012484391803,-0.442449222324516,0.71958142557273,2010-01-04
-8,7,3,6,-3,0,-1,-1,-1,-2,0.8899624911093851,0.7683897066096959,0.8888888888888891,3.5862391318916695,-0.364191108584063,0.529905846239163,2010-01-05
6,-8,7,3,6,-3,0,-1,-1,-1,1.09089980685295,-0.0939412266145205,0.222222222222222,4.60374243897771,-0.557616302611956,0.5300016504680071,2010-01-06
-5,6,-8,7,3,6,-3,0,-1,-1,0.6634152247868921,-0.36734693877551006,1.0,4.94974746830583,-0.852761063024481,0.18298092954894302,2010-01-07
0,-5,6,-8,7,3,6,-3,0,-1,0.5657965943371539,-0.21300008619984898,0.555555555555556,5.3176853778479405,-0.8871480019236859,0.113270936088547,2010-01-08
0,0,-5,6,-8,7,3,6,-3,0,0.5070555967788429,-0.27978911262706896,0.666666666666667,5.29150262212918,-0.8978001399711809,0.11573811538019302,2010-01-09
1,0,0,-5,6,-8,7,3,6,-3,0.500106326423318,-0.27978911262706896,0.666666666666667,5.29150262212918,-0.9109551443697029,0.109664623427066,2010-01-10
0,1,0,0,-5,6,-8,7,3,6,0.516680539228068,-0.539214584011989,1.11111111111111,5.10990323891863,-0.937144071047083,0.152727196959229,2010-01-11
-1,0,1,0,0,-5,6,-8,7,3,0.48399118773057104,-0.358262774735981,0.444444444444444,4.772607021092121,-1.17585564327238,0.0613540966638635,2010-01-12
1,-1,0,1,0,0,-5,6,-8,7,0.484639499875792,-0.100218259419313,0.0,4.69041575982343,-1.53833689518983,0.0223661887485475,2010-01-13
1,1,-1,0,1,0,0,-5,6,-8,0.524545449884071,-0.36790118318387705,-0.666666666666667,3.9370039370059104,-1.50087616847696,0.0566613671496741,2010-01-14
-1,1,1,-1,0,1,0,0,-5,6,0.566766009362792,0.16796875,0.33333333333333304,2.82842712474619,-1.0029484097108698,0.17735034979295605,2010-01-15
-3,-1,1,1,-1,0,1,0,0,-5,0.8877615487144542,-1.71241088236918,-0.444444444444444,1.87823794493077,-0.5818004578099101,0.9738273804261128,2010-01-16
2,-3,-1,1,1,-1,0,1,0,0,0.967679445256501,-1.0137035171645898,-0.222222222222222,1.3017082793177799,-0.403320384026506,0.63060582732296,2010-01-17
-3,2,-3,-1,1,1,-1,0,1,0,0.9921567416492221,-0.707106781186547,0.0,1.5,-0.6881467906068199,0.504985075093846,2010-01-18
1,-3,2,-3,-1,1,1,-1,0,1,0.70840541732409,-0.42240398337455,-0.33333333333333304,1.80277563773199,-1.00242864453875,0.22815381289503897,2010-01-19
0,1,-3,2,-3,-1,1,1,-1,0,0.562114065134668,-0.42240398337455,-0.33333333333333304,1.80277563773199,-1.00197975132419,0.0955807045456296,2010-01-20
1,0,1,-3,2,-3,-1,1,1,-1,0.50184162686069,-0.42240398337455,-0.33333333333333304,1.80277563773199,-0.9888116993121129,0.11189261385062199,2010-01-21
-1,1,0,1,-3,2,-3,-1,1,1,0.51903953185033,-0.732075991341144,-0.111111111111111,1.8333333333333302,-0.87268305052993,0.168385378177853,2010-01-22
2,-1,1,0,1,-3,2,-3,-1,1,0.5065362251294779,-0.42240398337455,-0.33333333333333304,1.80277563773199,-1.04550537593835,0.0812306530208796,2010-01-23
2,2,-1,1,0,1,-3,2,-3,-1,0.540061724867322,-0.339762175338661,-0.222222222222222,1.92209376577847,-1.16600227590606,0.11065900286427001,2010-01-24
-1,2,2,-1,1,0,1,-3,2,-3,0.5644228784624671,-0.635827456507579,0.111111111111111,2.02758751009941,-1.07953207180732,0.19414187448039397,2010-01-25
-2,-1,2,2,-1,1,0,1,-3,2,0.5669467095138411,-0.697424162875766,0.33333333333333304,1.73205080756888,-0.9196088991205129,0.17790867296089702,2010-01-26
1,-2,-1,2,2,-1,1,0,1,-3,0.6880624620561869,-0.258312762830535,-0.111111111111111,1.7638342073763897,-0.5297312415351021,0.8501021472820569,2010-01-27
