target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,trend,skew,mean,stddev,hurst,serialcorr,date
-1,0,0,-1,-2,-5,-2,0,-6,0.708974966162771,-0.7969178123924779,-2.0,2.32992949004287,-0.656024620145828,0.8816604864480581,2013-02-06 01:00:00
1,-1,0,0,-1,-2,-5,-2,0,0.7691019809770719,-1.28384577461541,-1.375,1.68501801601221,-0.0357027614416969,0.365461289045801,2013-02-06 01:30:00
-1,1,-1,0,0,-1,-2,-5,-2,0.8976158898517149,-0.9496741999650159,-1.25,1.8322507626258102,-0.10476021567501599,0.324409931095424,2013-02-06 02:00:00
-2,-1,1,-1,0,0,-1,-2,-5,1.27825215486952,-1.1997197676148,-1.125,1.80772153354911,-0.165436578594296,0.507541216952324,2013-02-06 02:30:00
4,-2,-1,1,-1,0,0,-1,-2,0.7032108464077429,0.309838667696593,-0.75,1.03509833901353,-0.164081807538246,0.9811954217291821,2013-02-06 03:00:00
7,4,-2,-1,1,-1,0,0,-1,1.2579418040663002,1.29903810567666,0.0,1.8516401995451,-1.00365497954695,0.34577858615116003,2013-02-06 03:30:00
10,7,4,-2,-1,1,-1,0,0,1.02710518202619,1.09380580214794,1.0,3.0237157840738202,-0.20017099308561898,0.426325543384408,2013-02-06 04:00:00
19,10,7,4,-2,-1,1,-1,0,1.4161893490971398,0.786374524407189,2.25,4.33424898750802,-0.00847673333228937,0.149936601499461,2013-02-06 04:30:00
5,19,10,7,4,-2,-1,1,-1,2.45654280585055,1.0043907754169101,4.625,7.190022849159,-0.1056577334883,0.182051314932152,2013-02-06 05:00:00
-1,5,19,10,7,4,-2,-1,1,1.6451756714810801,0.9067820604136341,5.375,6.823017765517791,0.0829106238633723,0.19823443708298102,2013-02-06 05:30:00
-3,-1,5,19,10,7,4,-2,-1,0.87179361185157,0.8628820992304771,5.125,7.03942976586679,0.0888804113019048,0.30669412000555196,2013-02-06 06:00:00
-1,-3,-1,5,19,10,7,4,-2,0.8543677084349158,0.758171469869683,4.875,7.31803057034961,0.122658397276258,0.30935843523546197,2013-02-06 06:30:00
2,-1,-3,-1,5,19,10,7,4,0.889461379632937,0.793394635662721,5.0,7.19126454208755,0.115501261603489,0.173981799554727,2013-02-06 07:00:00
0,2,-1,-3,-1,5,19,10,7,0.9091197159441009,0.86941433824462,4.75,7.26537777997224,0.127032792445665,0.138173322050507,2013-02-06 07:30:00
1,0,2,-1,-3,-1,5,19,10,0.9230071995852099,1.1681202798196102,3.875,7.376361859732361,0.039112701929029,0.16355583127849802,2013-02-06 08:00:00
0,1,0,2,-1,-3,-1,5,19,1.12470928869291,1.78389497641031,2.75,6.98467710676122,-0.21369897898263102,0.5026322828008151,2013-02-06 08:30:00
0,0,1,0,2,-1,-3,-1,5,0.7174521039864821,0.670817923784726,0.375,2.38671920665766,-0.421676224925975,0.9778950861694,2013-02-06 09:00:00
2,0,0,1,0,2,-1,-3,-1,0.696333313449981,-0.382385481734424,-0.25,1.4880476182856899,-0.144579168087137,0.501016042211617,2013-02-06 09:30:00
-1,2,0,0,1,0,2,-1,-3,0.877728980531751,-0.6240841293092729,0.125,1.64208056179609,-0.677457797712069,0.912372560936523,2013-02-06 10:00:00
